fujixerox.co.jp	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
fxis.co.jp	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
fxss.co.jp	ns-1487.awsdns-57.org.,ns-1998.awsdns-57.co.uk.,ns-477.awsdns-59.com.,ns-619.awsdns-13.net.
fxli.co.jp	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
fxpsc.co.jp	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
fxif.co.jp	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
fxmfg.co.jp	dns-b.iij.ad.jp.,dns-c.iij.ad.jp.
fxsc.co.jp	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
fxsvl.co.jp	dns-c.iij.ad.jp.,dns-b.iij.ad.jp.
technol.co.jp	asns2.customer.ne.jp.,asns1.customer.ne.jp.
akita-xerox.co.jp	asns2.customer.ne.jp.,asns1.customer.ne.jp.
yamagata-xerox.co.jp	ns-1260.awsdns-29.org.,ns-2036.awsdns-62.co.uk.,ns-375.awsdns-46.com.,ns-986.awsdns-59.net.
fukuixerox.co.jp	asns1.customer.ne.jp.,asns2.customer.ne.jp.
w-xerox.co.jp	asns1.customer.ne.jp.,asns2.customer.ne.jp.
koa-net.co.jp	asns1.customer.ne.jp.,asns2.customer.ne.jp.
mic-ltd.co.jp	ns2.mic-ltd.co.jp.,ns1.mic-ltd.co.jp.
soar-saga.co.jp	asns2.customer.ne.jp.,asns1.customer.ne.jp.
oitaxerox.co.jp	asns1.customer.ne.jp.,asns2.customer.ne.jp.
mdnet.co.jp	asns2.customer.ne.jp.,asns1.customer.ne.jp.
okixerox.co.jp	asns1.customer.ne.jp.,asns2.customer.ne.jp.
documentsolution.com	idhqvns01.
fujixerox.co.kr	dns1.fujixeroxap.net.
fujixerox.com.my	ns76.ipserverone.com.,ns77.ipserverone.com.
fujixerox.com.mm	ns2.mtalk.net.mm.,ns1.mtalk.net.mm.
fujixerox.com.kh	dns2.fujixeroxap.net.,dns1.fujixeroxap.net.
fujixerox.com.sg	dns2.fujixeroxap.net.,dns1.fujixeroxap.net.
fujixerox.co.th	ns1.icat.co.th.,ns.icat.co.th.
xerox.com.tw	tfx.xerox.com.tw.
